furniture-10000101,ハロウィン-ゴシック・ベッド
furniture-10004108,キングステーラー-「個性的な妥協」ラック
furniture-20004108,交渉が行き詰まったら、上から下へ順次選択しろ。「妥協は全員の見解だが……自分の妥協はこれだ。」
furniture-10004109,キングステーラー-「装うテクニック」丸テーブル
furniture-20004109,身だしなみとマナーは一種の自己制限だ。アフタヌーンティーで、あの野獣どもとの本質的な格差を広げねばならない。
furniture-10004110,キングステーラー-「必要な素養」ディスプレイ台
furniture-20004110,常に万全を期すことは不可能だが、それこそが諦めがつかない理由だ。「この世は決して完全ではない。だからこそ美しい。」
furniture-10004111,キングステーラー-「名を馳せる」椅子
furniture-20004111,孤立無援で劣勢、それはより華麗な反撃だけを意味する。「最後の1回という神聖な心臓を目の当たりにすると、人は皆それがまもなく花綻ぶこと知る。」
furniture-10004112,キングステーラー-「面会マナー」ソファ
furniture-20004112,主役が来るまで、如何にこの気まずい沈黙をやり過ごすかは、地下の大物にとっての基本的素養だ。
furniture-10004113,キングステーラー-「案件前」壁紙
furniture-20004113,わずかな手がかりも残すな。「知能のある生物はみな判断を誤る可能性がある。狼も、人も、絶対に過ちを犯さぬ者などいない。」
furniture-10004114,キングステーラー-「遠大な目標」壁掛け
furniture-20004114,未来への目標は常に己の過去から生まれ、今の一時的な衝動からは生まれない。
furniture-10004115,キングステーラー-「ノック無用」ショーウィンドウ
furniture-20004115,このドアはお前を招待しているのかもしれないし、お前がガラスを破って入らねばならないかもしれない。機会はいつでもあるが、ただ気づきにくいだけだ。
furniture-10004116,キングステーラー-「迷いを払う」シーリングファン
furniture-20004116,迷いを焦って払おうとせず、享受しろ。本当に嫌気が差してくるまでは。
furniture-10004201,トップガン-ディスプレイタイル
furniture-20004201,私たちは様々な方法を駆使して大地の束縛から逃れ、その後、艱難辛苦を乗り越えてその懐へ帰ることを渇望する。これぞSF精神です。
furniture-10004202,トップガン-ミニ滑走路
furniture-20004202,本物の飛行機を飛ばすことはできませんが、ミニ四駆でレースをすることはできます。それか、小柄な人形……とかでも。
furniture-10004203,トップガン-V2ミサイル展示台
furniture-20004203,P08：塗装がシャチみたいですね。残酷で、高効率で、可愛い！
furniture-10004204,トップガン-ミサイル「タウルス」展示台
furniture-20004204,Gr MG5：もしかしてこの空の筐体……カヌーに改造できるんじゃないか？
furniture-10004205,トップガン-現代の飛行機模型
furniture-20004205,より高い機動性と、より安定した操縦で……この話はやめましょうか。単尾翼と双尾翼では、どちらが好きですか？
furniture-10004206,トップガン-昔の飛行機模型
furniture-20004206,造形や塗装のバリエーションがたくさんある時代を嫌いになりたい人なんているでしょうか？現代人はどんどん賢くなっていて、どんどんロマンを求めなくなっていますけど。
furniture-10004207,トップガン-初期の飛行機模型
furniture-20004207,空を駆けるという夢のため、私たちは大きな犠牲を払ってきましたが、実現してからも、さらなる犠牲を払うのでしょうね。
furniture-10004208,トップガン-民間回転翼機の模型
furniture-20004208,今は空を飛ぶという夢は、技術的には簡単に実現できます。空を征服するカギとなるのは勇気でしょう。
furniture-10004209,トップガン-空き展示台
furniture-20004209,次に登場する武器は何でしょう？先にお断りしておきますが、当社は人形をミサイルにしたりしませんよ。
furniture-10004210,トップガン-ミサイル「スティクス」展示台
furniture-20004210,MP-446：大きな魚みたい、飼えるかな？
furniture-10004211,トップガン-ミサイル「ペチョラ」展示台
furniture-20004211,マカロフPM：大きなサインペンみたい。あたしより大きな軍用人形に使わせよう。
furniture-10004212,トップガン-ミサイル「トマホーク」展示台
furniture-20004212,イングラム：人間を入れられそうですね……あ、安心してください、完全に入るとは言ってません。
furniture-10004213,トップガン-展示場ベンチ
furniture-20004213,ちょっと休憩してから先へ進みましょう。ゆっくりめに歩けば、青空も私たちに追いつくかもしれません。
furniture-10004214,トップガン-展示場壁紙
furniture-20004214,勝手に上がらないでください。どんなに高い所に上がっても、空は遥か遠くですから。
furniture-10004215,トップガン-展示場照明
furniture-20004215,やけどに気をつけて。私たちは光に頼るしかないのに、それを持ったり、それになることはできないんです。
furniture-10031501,トンプソン-デモンハンター
furniture-20031501,トンプソンのポスター。
furniture-10031502,コンテンダー-オペラ座の怪人
furniture-20031502,コンテンダーのポスター。
furniture-10031503,PKP-淑女の密命
furniture-20031503,PKPのポスター。
furniture-10031504,Gr MG5-荒野のハンター
furniture-20031504,Gr MG5のポスター。
furniture-10031505,AEK-999-ベイビー・ライダー
furniture-20031505,AEK-999のポスター。
furniture-10031506,PzB39-パンク・ライダー
furniture-20031506,PzB39のポスター。
furniture-10031507,Gr G36-バーテンダー
furniture-20031507,Gr G36のポスター。
furniture-10050302,致命演出-黒塗り高級バイク
furniture-20050302,AEK999お気に入りのキャリアだが、彼女がこれに乗るときは服も着替えるため、このバイクの存在は仲のいいツーリング仲間にしか知られていない。
furniture-10031601,Am RFB-いじわるAm RFBのクリスマス
furniture-20031601,Am RFBのポスター
furniture-10031602,Gr G11-一番綺麗な贈り物
furniture-20031602,Gr G11のポスター
furniture-10031603,Zas M21-銃声を捧げる雪姫
furniture-20031603,Zas M21のポスター
furniture-10031604,CZ75-真冬の採集者
furniture-20031604,CZ75のポスター
furniture-10031605,Ameli-プレゼント売りのクリスマスツリー
furniture-20031605,Ameliのポスター
furniture-10031606,M1918-ハッピー・クリスマス
furniture-20031606,M1918のポスター
furniture-10031608,OTs-44-森のトナカイさん
furniture-20031608,OTs-44のポスター。
furniture-10050102,クワスタンク車
furniture-20050102,正宗的格瓦斯，尽情畅饮才能对得起它的美味。
furniture-10050103,聖夜の宴
furniture-20050103,一张摄于平安夜晚宴前的宝贵照片，因为宴会开始后无论人形还是食物，她们的形象都会惨不忍睹。
furniture-10002002,クリスマス特売ビーズクッション
furniture-20002002,在节日氛围的影响下拥有双倍的磁性加成，一旦坐进去就很难再站起来。
furniture-10002003,クリスマスパグ
furniture-20002003,为了圣诞节来临而精心打扮的巴哥犬，它似乎并不知道今天谁诞生了，但它对今晚的宴会心怀感恩。
furniture-10004301,发薪日-银行密室地板
furniture-20004301,银行的地板应当一尘不染，无论什么落在地上我们的人员都会第一时间清理，无论货币、子弹还是曾经活着的什么东西。
furniture-10004302,发薪日-防盗陷阱
furniture-20004302,对大部分人形无效，因此部分人类认为人形是失败的仿生品，她们竟然不会人类文明至今最美好的东西所动，但冰淇淋却可以。
furniture-10004303,发薪日-仓库传送吊钩
furniture-20004303,用于搬运昂贵的货物，或者让人形们在上面荡来荡去，所以智慧究竟有什么意义？人类、人形和人猿到底有什么区别？
furniture-10004304,发薪日-银行咨询柜台
furniture-20004304,如果想咨询回报方面的问题，可以先问问柜台里的服务人形，如果想咨询安全方面的问题，可以先看看柜台上的战利品。
furniture-10004305,发薪日-银行挂旗
furniture-20004305,这个标志可以向客户表明这里工作人形的来历，她们能提供友善服务，也能第一时间制服犯罪……而且只拿一份工资。
furniture-10004306,发薪日-保险货物箱
furniture-20004306,您可以把宝贵的东西装到里面，我们来为您保管，除了你的心，一旦交出去它就不再宝贵了。
furniture-10004307,发薪日-一大摞世界货币
furniture-20004307,黄金就是黄金，它可以换来世上任何东西，唯有幸福除外……因为幸福从你拥有黄金那一刻就到来了。
furniture-10004308,发薪日-一小摞世界货币
furniture-20004308,很多人形并不能理解黄金的价值，拿它们随便丢来丢去……也可能她们理解人类所说的价值，只是理解不了人类。
furniture-10004309,发薪日-柜台装饰植物
furniture-20004309,人类喜欢在各种地方摆放这种植物，证明他们曾与曾经的环境同在，然后亲手毁掉并建立了新的制度，然后一直如此循环。
furniture-10004310,发薪日-银行内部纸币
furniture-20004310,只能在格里芬人形间流通的钞票，各个小队汇率差异很大，你可能会每天从上面醒来，然后抽掉其中一层去换几根棒棒糖。
furniture-10004311,发薪日-银行电动搬运车
furniture-20004311,用于在银行搬运货物，虽然全自动也没问题，但有些人形就是喜欢亲自驾驶……一旦发生车祸就是一场持续性的通货紧缩。
furniture-10004312,发薪日-防盗墙壁
furniture-20004312,我们不会在上面通电的，怎么可能通电嘛！那样对非法闯入的家伙不会过于仁慈了点吗？
furniture-10004313,发薪日-银行保险库
furniture-20004313,我们需要清点一下损失，主要看看灯管，好几个已经不亮了……钱？什么钱？早就花光了，这里现在用来堆放金箔巧克力。
furniture-10004314,发薪日-飞车墙饰
furniture-20004314,这只是件很酷的装饰，真正的汽车是钻不进来的……除了平安夜那晚的AK47她们，谁知道她们那次到底喝了多少。
furniture-10004315,发薪日-银行摄像头
furniture-20004315,别人做什么它都都知道，唯独不知道自己在做什么，这就是摄像头的一生，只有做坏事的人才在乎它，只有发生了坏事大家才想起它。
furniture-10004401,圣诞小屋-暖烘烘地板
furniture-20004401,小心！太柔软的人形可能会融化在上面！
furniture-10004402,圣诞小屋-“冬日宴会”地毯
furniture-20004402,天真的人形会喜欢它的图案，严谨的人形会喜欢它的工整，RFB会喜欢用像素格子表示的游戏画面。
furniture-10004403,圣诞小屋-冬用地窖
furniture-20004403,永远永远不要在SPAS12面前说食物还够，你知道去年有一头鲨鱼吃掉整个仓库吗？是的，传说只能相信一半，她吃掉了半个……
furniture-10004404,圣诞小屋-部落风壁炉
furniture-20004404,壁炉前有一个漫长的故事，和愿意听它的孩子，如果人类只通过这种方式传递文明，地球母亲会轻松很多。
furniture-10004405,圣诞小屋-“冬日训练”沙盘
furniture-20004405,工作会令假期更加宝贵与耀眼，如同俗人赞美苦难，活人歌颂死亡。
furniture-10004406,圣诞小屋-“冬日庆典”礼盒
furniture-20004406,身为指挥官的一大乐趣便是欣赏人形们兴奋地打开之后发现空无一物的表情……尝试前最好先请个伤假。
furniture-10004407,圣诞小屋-冬用食物桌
furniture-20004407,在意体重？你连此刻的愉悦都无法尽情享用，又怎能有眼光去捕获未来的幸福？
furniture-10004408,圣诞小屋-部落风沙发
furniture-20004408,以传统工艺品为例，很多东西只有失去了才会被珍惜，因为只有失去了才显得稀有和值钱。
furniture-10004409,圣诞小屋-懒洋洋坐垫
furniture-20004409,一旦被吸住就起不来了，“懒惰力”是超越重力的第五种作用力！
furniture-10004410,圣诞小屋-部落风墙壁
furniture-20004410,美好的事物往往在过去便被杀死，而残骸流淌至今日，令世人趋之若鹜，并称之为不朽。
furniture-10004411,圣诞小屋-部落风雕刻
furniture-20004411,人类的祖先喜欢对亲眼目睹的事物进行模仿，后来的人类可能更喜欢画些触不到的东西。
furniture-10004412,圣诞小屋-“冬日许愿”橱窗
furniture-20004412,愿望可能实现不了，但至少告诉自己生活还有希望，万念俱灰时，请至少想起这一天，你想得到幸福。
furniture-10004501,海盗遗产-潮湿甲板
furniture-20004501,禁止在甲板上斗殴、乱丢垃圾、以及滑旱冰，捞救落水的人形是很费劲的！
furniture-10004502,海盗遗产-风与阳光之窗
furniture-20004502,看开些，海洋也不过是个大一点的鱼缸，只是关你的地方比较小而已。
furniture-10004503,海盗遗产-躺在宝藏上
furniture-20004503,这是只有出卖自己的心才能获得的宝藏，你真的能躺在上面安睡吗？……没心没肺当然睡得更香了！
furniture-10004504,海盗遗产-未完成的海图
furniture-20004504,人们不想被边际束缚，却又总想找寻边际，希望的最后一定是失望，但所有人依然趋之若鹜。
furniture-10004505,海盗遗产-正义的火力
furniture-20004505,海上的正义就是活下来，剩下的到陆地上再谈。
furniture-10004506,海盗遗产-解忧杂货点
furniture-20004506,任何问题都可以在这里找到答案，敌人，朋友，全都可以混为一谈。
furniture-10004507,海盗遗产-海上快餐馆
furniture-20004507,如果有人突然说这些玩意很好吃，请小心他们眼睛中的异光和奇怪的举止。
furniture-10004508,海盗遗产-叛逆忏悔所
furniture-20004508,好好反省自己的过错，不要在里面荡秋千和跳圆圈舞！
furniture-10004509,海盗遗产-命运的展台
furniture-20004509,你可以将全部家底押在桌子上，因为明天没人保证你能不能花掉，命运就是这么无所谓的东西。
furniture-10004510,海盗遗产-深海潜伏者
furniture-20004510,不要听它说什么，请放回到海里，重复一遍，不要听它说什么，而且不好吃，请放回到海里。
furniture-10004511,海盗遗产-爱闲聊的凳子-左
furniture-20004511,没有人在乎你的故事，大家只是无聊而已，如果不互相吹牛，就只能彼此伤害了。
furniture-10004512,海盗遗产-爱闲聊的凳子-右
furniture-20004512,没有人在乎你的故事，大家只是无聊而已，如果不互相吹牛，就只能彼此伤害了。
furniture-10004513,海盗遗产-海中避风港
furniture-20004513,做好觉悟吧，如果你真想在海上寻找避风港，为什么不直接回家呢？
furniture-10004514,海盗遗产-摇曳的故乡
furniture-20004514,这是你的心，在未来的希望和被放弃的幸福之间摇摆不定。
furniture-10004515,海盗遗产-眺望的帷幕
furniture-20004515,阳光、陆地和徘徊的海鸟，总是那些与我们无关的东西看起来更美好。
furniture-10004601,像素森林-冒险用草坪
furniture-20004601,把它铺在地上，然后你就可以在额头上扎条圆形宝石的毛巾、戴上三角形垫肩，在让人打瞌睡的交响乐下踏上怎样都好的征途。
furniture-10004602,像素森林-易碎的神秘砖块
furniture-20004602,你有没有想过，一块砖头的价值可能比一枚铜币更高？
furniture-10004603,像素森林-活着的吊床
furniture-20004603,这个床会趁你睡着时偷偷生长，直到它成长到可以把你吃掉时，然后……开始思考人生。
furniture-10004604,像素森林-合金烹饪锅
furniture-20004604,再添把火！也许你就可以驾驶它了！
furniture-10004605,像素森林-旧日的坦克
furniture-20004605,它会让你的战斗更加轻松和华丽，在过去你需要靠技术赢得它，而不是用真金白银。
furniture-10004606,像素森林-沉思的树桩
furniture-20004606,树桩不会思考什么，坐在上面的你却可以，这很公平，你在享受它的服务，而它在嘲笑你。
furniture-10004607,像素森林-筋肉型招牌
furniture-20004607,你有想过这些奇形怪状的子弹在现实中的可行性吗？没有？那你可以享受其中了。
furniture-10004608,像素森林-摇摇曳曳的帐篷
furniture-20004608,再休息一会儿吧，再沉浸一会儿吧，过去人们的幻想是为了接受现实，而现在，幻想是为了能逃离它，或者改变它。
furniture-10004609,像素森林-只是碰巧路过的熊
furniture-20004609,这头熊在这个世界并不会伤害人，但是你可以伤害它……所以为什么不呢？我们可是拥有自由意志而为所欲为的高贵人类啊！
furniture-10004610,像素森林-勇敢者丛林
furniture-20004610,探索这片森林，直到你吃掉了所有蘑菇而游戏还没结束。
furniture-10004611,像素森林-空中树屋
furniture-20004611,建造这样的屋子不仅需要挖很多材料，还需要判断你的地图顶端够不够这么高。
furniture-10004612,像素森林-摇不醒的酒瓶
furniture-20004612,拿起酒瓶，打翻人生，生命本身就是件无聊的东西，除了故事，没有什么真正值得享受。
furniture-10003104,TapTap!
furniture-20003104,TapTap专属纪念家具。
furniture-10002004,ポスター-キューブ作戦
furniture-20002004,2016夏イベント-キューブ作戦限定ポスター
furniture-10002005,ポスター-低体温症
furniture-20002005,2017冬イベント-低体温症限定ポスター
furniture-10002006,ポスター-ディープダイブ
furniture-20002006,2017夏イベント-ディープダイブ限定ポスター
furniture-10031701,M99-うさぎ班
furniture-20031701,M99のポスター
furniture-10031702,NZ75-ThanX！&Go2Hell！
furniture-20031702,NZ75のポスター
furniture-10031703,SPP-1-粉雪
furniture-20031703,SPP-1のポスター
furniture-10031704,Super Shorty-異国の交差点
furniture-20031704,Super Shortyのポスター
furniture-10031705,RMB-93-星の彼岸
furniture-20031705,RMB-93のポスター
furniture-10004701,单车日记-水泥地面
furniture-20004701,就像专业的车库一样，耐脏耐磨的地面永远是轮胎最好的伙伴，遇到了就请尽情践踏它。
furniture-10004702,单车日记-武器柜
furniture-20004702,在疾行的载具上持枪是战术人形的浪漫！现在添购这项配件还可获得单手花式装填的教程！
furniture-10004703,单车日记-前台工具柜
furniture-20004703,大众想得到最直接的保养所需物品都会放在这里，机油、防冻液、最重要的，当然还有大家的好伙伴WD40！
furniture-10004704,单车日记-周边商品柜
furniture-20004704,模型、纪念品、臂章或是子弹，这些东西能够唤醒大家内心深处身为骑手的情怀……尤其在你发现那些摩托统统买不起的时候。
furniture-10004705,单车日记-零件展柜
furniture-20004705,自定义的改装配件永远有种使用者可以自由选择的错觉，其实一切都注定好了，就像人生一样。
furniture-10004706,单车日记-把手架
furniture-20004706,或许比起把手本身，这东西与车子的连接处坚固与否会更重要一些……尤其是计算指挥官会以多少G的力道被人形从后座甩出去时
furniture-10004707,单车日记-战术自行车
furniture-20004707,能挂载大量军用工具，甚至还能吃汽油，你可以骑着它去很远的地方，露营、野炊、看星星……除了逃离末日，你可以靠它去任何地方旅行。
furniture-10004708,单车日记-单车展示架
furniture-20004708,特别放在店里的主要位置就意味着卖家对这几台车有绝对的自信，不管是做工、设计还是附加价值……所以，绝对不要上当！买你真正需要的型号！
furniture-10004709,单车日记-楼梯
furniture-20004709,站在高处俯瞰各式各样的摩托型号如同博物馆一般，区别在于你可以亲自把它们骑回家！
furniture-10004710,单车日记-硬朗的沙发
furniture-20004710,这款质地坚硬的沙发是特别为了硬派的人形女士准备的，它为自己没沾过半点巧克力或者奶油冰淇淋而自豪。
furniture-10004711,单车日记-军用摩托车
furniture-20004711,带它走吧，这匹战马只想回到真正的战场上继续驰骋，而不是苟活于战争电影的虚伪布景里！
furniture-10004712,单车日记-仓库橱窗
furniture-20004712,对外都会宣称是放置其他二手车的仓库，但实际上这里是专门用来放置著老板收藏的非卖品。虽然是这样说，不过销售员都会偷偷骑著它们出去兜风。
furniture-10004713,单车日记-大件解体展示墙
furniture-20004713,为了营造店内尊绝不凡的气氛而特别设置的展示墙，可以让小孩子站在它前面赞叹不已，通常摆得很高以减少这些可怕生物留下指纹。
furniture-10004714,单车日记-待出售的单车
furniture-20004714,太久没卖出去的话，维修部的技师会拆它们的零件去修其他的车。只留下很多故事，没人听过，但确实有人亲身经历过的故事
furniture-10004801,关东往事-雪地里的小画家
furniture-20004801,小鸡画竹叶，小狗画梅花，小鸭画枫叶，小马画月牙……小孩跑来做什么？一脚一脚踩烂它！
furniture-10004802,关东往事-爆米花机
furniture-20004802,这是中国传统的爆米花烘焙工具，虽然看起来更像是用于邪恶炼金术的仪器，不过你要相信它其实很安——砰！//n以上就是大家以为56半刚从非洲回来的原因。
furniture-10004803,关东往事-开门红
furniture-20004803,用于驱赶不幸和偷盗的鸟类……小孩子不行，小孩子会被吸引过来，然后一把抢走你的锣槌和睡眠。
furniture-10004804,关东往事-墙角数枝梅
furniture-20004804,从耐寒的梅花中，你不能学习些什么吗？——88式//n肯吃苦的人会没朋友。——80式
furniture-10004805,关东往事-爆竹铺子
furniture-20004805,不同于军火，烟花往往代表着喜悦……——95式//n不过用军火获得胜利不也是喜悦吗，哪里不一样嘛！——97式
furniture-10004806,关东往事-小冰灯
furniture-20004806,救命！我被格里芬的人形施了冰魔法，只有真爱之吻才可以……——？？//n才可以吃吗？那我可要亲了啊！——56-1式//n不，大大，别这样！我现在就出来！——T65
furniture-10004807,关东往事-寒枝历岁寒
furniture-20004807,你要教我什么？——63式//n把朋友约到下面再对着树踹上一脚是常见的民间娱乐项目……以及运动！哈哈哈哈来抓我啊！——59式
furniture-10004808,关东往事-小吃铺子
furniture-20004808,吃完了竹签子别乱丢，明年接着用。——92式//n已经用了两年了吧！可持续发展也要有个限度啊！——79式//n有限度了，还叫什么可持续发展？——92式
furniture-10004809,关东往事-雪孩子
furniture-20004809,雪人长生的秘诀是更加持久的残酷气候和没有人去搭理它陪它玩耍……真是个别扭的家伙啊。
furniture-10004810,关东往事-小茶桌
furniture-20004810,听说你们会一边喝茶一边聊天哦，不怕被珍珠噎到吗？——T91//n我们聊的就是你们会不会被珍珠噎到的话题啊。——64式
furniture-10004811,关东往事-冰与火之歌
furniture-20004811,对于人类幼体而言，爆竹和军火没什么两样：用于娱乐、具有杀伤力、而且只用在不方便清理的场合。
furniture-10004812,关东往事-小竹凳-右
furniture-20004812,吱吱呀呀的声音和对坐姿的刁钻要求，使一些神经质的理科生很不适应，也许这是中国古代科研不发达的原因。
furniture-10004813,关东往事-小竹凳-左
furniture-20004813,吱吱呀呀的声音和对坐姿的刁钻要求，使一些神经质的理科生很不适应，也许这是中国古代科研不发达的原因。
furniture-10004814,关东往事-马扎子
furniture-20004814,重要的日常生活道具，坊间娱乐、走亲访友、乘坐车辆、打架斗殴时都会用到。——97霰//n请别再给我添麻烦了好吗！——八一式马
furniture-10004815,关东往事-福临门
furniture-20004815,新年新气象！——JS05//n除了你，大家都是旧的，有什么庆祝的必要吗？——NZ75//n大家都在这里，才是真正值得庆祝的事情啊！——JS05
furniture-10031801,Gd DSR-50-春牡丹
furniture-20031801,Gd DSR-50のポスター
furniture-10031802,S.A.T.8-ウメ印
furniture-20031802,S.A.T.8のポスター
furniture-10031803,ART556-水芙蓉
furniture-20031803,ART556のポスター
furniture-10031804,JS05-タマスダレ
furniture-20031804,JS05のポスター
furniture-10031805,Gr Mk23-レモンバーム
furniture-20031805,Gr Mk23のポスター
furniture-10031806,M590-ノアサガオ
furniture-20031806,M590のポスター
furniture-10031807,八一式-冬ツバキ
furniture-20031807,八一式のポスター
furniture-10031808,LWMMG-ヤグルマギク
furniture-20031808,LWMMGのポスター
furniture-10031809,88式-東湖蓮
furniture-20031809,88式のポスター
furniture-10002007,ポスター-特異点
furniture-20002007,2018冬イベント-特異点限定ポスター
furniture-10004901,梯队收藏-战术地板
furniture-20004901,看起来很符合硬派指挥官的气质，当然，大部分硬派玩意和同类的区别也只是“看起来”。
furniture-10004902,梯队收藏-战术人偶AK12
furniture-20004902,以一名总是双目紧闭的人形为原型的等身人偶，她对万事万物充满好奇，但很少介入其中，野性是个不稳定的炸弹，她知道。
furniture-10004903,梯队收藏-战术立牌CZ75
furniture-20004903,以一名暴躁愤怒的人形为原型的等身立牌，不善表达情感的她，喜欢用行动解决所有麻烦和善意……嗯，“解决”。
furniture-10004904,梯队收藏-战术立牌SAT8
furniture-20004904,以一名开朗稳重的人形为原型的等身立牌，遇到意外状况会失态，遇到可爱事物也会失态……前言收回，也许她没那么稳重。
furniture-10004905,梯队收藏-战术立牌M99
furniture-20004905,以一名乖巧温和的人形为原型的等身立牌，战场之外的她喜欢烹饪和兔子，但是不要在她面前烹饪兔子，否则她会咬人。
furniture-10004906,梯队收藏-休闲漫画柜
furniture-20004906,翻阅之前请注意一条铁则，先确认完结卷也在柜子里。
furniture-10004907,梯队收藏-休闲手办柜
furniture-20004907,“快乐是可以用金钱换来的”，站在被填满的柜子面前时，你会由衷地这么想，又名“我只是想让大家都得到幸福而已！”
furniture-10004908,梯队收藏-休闲设备柜
furniture-20004908,用来存放一些曾经是最新型的电子设备，又名不理智消费博物馆或者灰尘采集器。
furniture-10004909,梯队收藏-休闲小茶几
furniture-20004909,温馨时刻总是宝贵的，你需要努力拼搏才能换来这一天，或者什么都不做，现在就享受也可以。
furniture-10004910,梯队收藏-休闲游戏柜
furniture-20004910,你会说现在的游戏没有过去有趣了，你会说游戏变了、你变了、时代变了，其实什么都没变，只要你还喜欢。
furniture-10004911,梯队收藏-休闲游戏机
furniture-20004911,《什么是未来》//n“猜猜将来游戏是什么样？也许PONG是彩色的，会记录分数，甚至能和朋友对打！”//n“欢迎来到未来——”//n“我了个……”
furniture-10004912,梯队收藏-战术电脑椅
furniture-20004912,充满未来感的电子工程椅，所谓的未来感就是懒，所谓的懒就是更好的生活。
furniture-10004913,梯队收藏-休闲电脑椅-左
furniture-20004913,一点都不休闲，尤其在你想午睡或者想手搭在扶手上假装沉思的时候，这是人类探索科学道路上的一次不幸尝试。
furniture-10004914,梯队收藏-休闲电脑椅-右
furniture-20004914,一点都不休闲，尤其在你想午睡或者想手搭在扶手上假装沉思的时候，这是人类探索科学道路上的一次不幸尝试。
furniture-10004915,梯队收藏-休闲懒人椅-红
furniture-20004915,世界在灭亡，我们不闻不问，只是躺在上面融化掉。
furniture-10004916,梯队收藏-休闲懒人椅-蓝
furniture-20004916,别太在意，浪费时间是人类的特长，最好别荒废它。
furniture-10004917,梯队收藏-战术钢板墙
furniture-20004917,隔音效果很棒，你可以偷偷做一些自我满足的事情不被察觉，比如加班。
furniture-10004918,梯队收藏-战术射灯
furniture-20004918,自带[开启引用模式]战术[引用模式结束]模式，请在每次使用前对接口令并扫描虹膜再回答当前执勤人形的指甲油颜色。
furniture-10005001,婚礼现场-婚礼用草地
furniture-20005001,草地意味着天然纯洁，虽然我们会先烧掉野草后再种植修剪它们，仪式嘛，本来就是将多余打扮得顺理成章。
furniture-10005002,婚礼现场-摄影用轨道
furniture-20005002,可用于拍摄一个漂亮的长镜头，需要充沛的摄影技术和一些安分的人形演员，和一部真有必要用到的电影和游戏。
furniture-10005003,婚礼现场-婚礼城墙远景
furniture-20005003,竖立在远方的城堡背景，也许没有看上去那么远方，只是小而已。
furniture-10005004,婚礼现场-婚礼城墙近景
furniture-20005004,竖立在近处的城堡背景，它很高，希望倒下时你碰巧站在拱门之间。
furniture-10005005,婚礼现场-婚礼城门背景
furniture-20005005,竖立在正中的城堡背景，忽略头顶那些不必要的东西，假装一切是真的，就像面对自己感情一样。
furniture-10005006,婚礼现场-摄影导演工作位
furniture-20005006,坐在这个位子假装在掌控所有事情，就算一切早就决定好，至少你还有搞砸它的机会。
furniture-10005007,婚礼现场-婚礼用敞篷车
furniture-20005007,有人坐在车里哭泣，我们又如何知道这不是喜极而泣呢？
furniture-10005008,婚礼现场-摄影用射灯
furniture-20005008,与黑暗一样，光明也可以掩盖真实，是的，艺术本来就是为了掩盖真实。
furniture-10005009,婚礼现场-摄影用相机
furniture-20005009,它很荣幸用于见证人类的历史，但是别问它核弹和巧克力的发明哪个更重要。
furniture-10005010,婚礼现场-婚礼用花门
furniture-20005010,羡慕这样的家伙，它见证到的永远是幸福的一瞬，而不是之前和之后的坎坷。
furniture-10005011,婚礼现场-摄影用摄像机
furniture-20005011,它知道世界在活着，比我们知道得更多更深刻，因为它不需要节外生枝的思考。
furniture-10005012,婚礼现场-摄影背景墙
furniture-20005012,表明这里发生的都只是为了个视频文件，能触摸到的东西注定不怎么浪漫。
furniture-10005013,婚礼现场-摄影用天空幕布
furniture-20005013,幕布背后也许就是真实的生活，或者只是一面闯不过的墙，有差别吗？
furniture-10005014,婚礼现场-摄影柔光箱
furniture-20005014,使拍出来的东西比真相更美好……谁喜欢真相，真相是我们就是群会说谎的猴子。
furniture-10005015,婚礼现场-婚礼用桌子
furniture-20005015,献上祝福吃光东西就拍拍屁股走人，不然呢？幸福是最短暂的，在回忆之前请先充分享受。
furniture-10005016,婚礼现场-婚礼用椅子
furniture-20005016,座位上角色的数量重于内容，且大部分电影里充当的只是抢婚时大惊小怪的人肉背景。
furniture-10031901,Vector-盲信者
furniture-20031901,Vectorのポスター
furniture-10031902,Five-seven-幸せの微笑み
furniture-20031902,Five-sevenのポスター
furniture-10031903,Gr MP5-小さな一歩
furniture-20031903,Gr MP5のポスター
furniture-10031904,Gr G36-純白キク
furniture-20031904,Gr G36のポスター
furniture-10031905,56-1式-いつまでも心を一つに
furniture-20031905,56-1式のポスター
furniture-10031906,SV-98-ハートに命中
furniture-20031906,SV-98のポスター
furniture-10050502,スウィートウェディング-自宅警備隊マーク
furniture-20050502,又一个揭示了生活本来面目的标志。而“真相”，是否一定是真实的？
furniture-10050503,スウィートウェディング-ウェディング用レースカーテン
furniture-20050503,每当看到窗帘上的花饰便能想起那甜蜜的一瞬——即使其中充斥着不属于自己的幸福。
furniture-10002008,イースターのウサギ
furniture-20002008,这个巨大的玩偶是节日的象征。在玩偶的内部似乎发出了一些奇怪的声音……也许这象征着新生命的骚动。//n喂，你们看到班长了吗？她人怎么不见了！——97霰
furniture-10002009,ウサギマイク
furniture-20002009,复活节派对上使用的麦克风，用符合节日气氛的装饰稍稍点缀了一下。//n用这个麦克风，唱歌时的风格大概会变得可爱起来吧。——M950A
furniture-10002010,うさ耳スピーカー
furniture-20002010,复活节派对上使用的音箱，拥有和节日主题相符的兔子耳朵。//nART556，音箱上的装饰你随时都可以摸，但不准再拆掉它们了哦。——G36
furniture-10002011,イースターエッグの飾り：爆発注意
